phone,name,account,notes
+15636593812,"Saint (St.) Joseph Catholic School, IA","Saint (St.) Joseph Catholic School, IA","DeWitt, Iowa | Education: Lower Education | www.st-joseph-dwt.pvt.k12.ia.us/home"
+1.605.224.7185,"Saint (St.) Joseph School,SD","Saint (St.) Joseph School,SD","Pierre, South Dakota | Education: Lower Education | www.sfaconcord.net"
515-371-9934,"Saint (St.) Luke The Evangelist Church and School, IA","Saint (St.) Luke The Evangelist Church and School, IA","Ankeny, Iowa | Education | www.saintluketheevangelist.org"
+16417827125,"Saint (St.) Malachy School / Creston, IA","Saint (St.) Malachy School / Creston, IA","Creston, Iowa | Education: Lower Education | crestonstmalachy.org"
(563) 252-1577,"Saint (St.) Mary IC School, IA","Saint (St.) Mary IC School, IA","Guttenberg, Iowa | Education | www.maryicjoseph.org/"
13193934445,Saint Pius X Elementary School,Saint Pius X Elementary School,"Cedar Rapids, Iowa | Education: Lower Education | stpiusxschoolcr.com"
+1.605.796.4513,"Sanborn County, SD","Sanborn County, SD","Woonsocket, South Dakota | Government: Local | www.sanbornjournal.com"
515-289-1089,"Saylor Township, IA","Saylor Township, IA","Des Moines, Iowa | Government | www.saylorfd.com"
+1.402.352.3101,"Schuyler, NE","Schuyler, NE","Schuyler, Nebraska | Government: Local | www.ci.schuyler.ne.us"
605-583-2237,"Scotland School District, SD","Scotland School District, SD","Scotland, South Dakota | Education: Lower Education | www.scotland.k12.sd.us"
563-359-3466,SCOTT COUNTY CATHOLIC SCHOOLS,SCOTT COUNTY CATHOLIC SCHOOLS,"Davenport, Iowa | Education: Lower Education | sccsiowa.org"
+1.402.564.7165,"Scotus Central Secondary School of Columbus, NE","Scotus Central Secondary School of Columbus, NE","Columbus, Nebraska | Education: Lower Education | www.scotuscc.org"
+1.605.649.7818,"Selby Area School District 62-5, SD","Selby Area School District 62-5, SD","Selby, South Dakota | Education: Lower Education | www.selby.k12.sd.us/"
+1.402.643.3318,"Seward Memorial Library, NE","Seward Memorial Library, NE","Seward, Nebraska | Government: Local | www.sewardlibrary.org"
(605) 455-6687,"Shannon County School District, SD","Shannon County School District, SD","Sturgis, South Dakota | Education: Lower Education | www.shannon.ws"
605-306-4132,Shantee Sioux Nation,Shantee Sioux Nation,"Niobrara, Nebraska | Government: Regional | santeesiouxnation.net"
712.755.3831,Shelby County Courthouse,Shelby County Courthouse,"Harlan, Iowa | Other | shelbycounty.iowa.gov/"
+1.712.544.2404,"Shelby, IA","Shelby, IA","Shelby, Iowa | Government: Local | www.shelbyia.com"
+1.308.647.5484,"Shelton Village, NE","Shelton Village, NE","Shelton, Nebraska | Government: Local | www.villageofshelton.com"
308-382-5500,"Sherman County Court House, NE","Sherman County Court House, NE","Grand Island, Nebraska | Government | scch@ccigi.com"
+1.308.745.1513,"Sherman County, NE","Sherman County, NE","Loup City, Nebraska | Government: Local | www.co.sherman.ne.us/"
+1.605.629.2371,"Sherman Township, SD","Sherman Township, SD","White, South Dakota | Government: Local"
+1.641.622.3080,"Sigourney, IA","Sigourney, IA","Sigourney, Iowa | Government: Local | www.sigourneyiowa.com"
16058568100,Sinte Gleska University,Sinte Gleska University,"Mission, South Dakota | Education: Higher Education | sintegleska.edu"
+1.712.722.2138,"Sioux Center Public Library, IA","Sioux Center Public Library, IA","Sioux Center, Iowa | Education | siouxcenterlibrary.org"
+13086689453,Sioux County,Sioux County,"Harrison, Nebraska | Government: Local | co.sioux.ne.us"
Sioux Falls Catholic Schools,"Sioux Falls Catholic Schools, SD","Sioux Falls Catholic Schools, SD","Sioux falls, South Dakota | Education: Lower Education | www.sfcss.org"
+16053341422,Sioux Falls Christian Schools Association,Sioux Falls Christian Schools Association,"Sioux Falls, South Dakota | Education: Lower Education | www.siouxfallschristian.org"
+1.605.627.5657,"Sioux Valley School District 05-5, SD","Sioux Valley School District 05-5, SD","Volga, South Dakota | Education: Lower Education | www.svs.k12.sd.us"
+1.712.294.5000,"Siouxland Medical Education Foundation, Inc., IA","Siouxland Medical Education Foundation, Inc., IA","Sioux City, Iowa | Healthcare | www.slmef.org"
605-698-7391,"Sisseton Memorial Library, SD","Sisseton Memorial Library, SD","Sisseton, South Dakota | Education | www.swc.tc"
(605) 698-7613,SISSETON SCHOOL DISTRICT (SD) -ISD 54-2,SISSETON SCHOOL DISTRICT (SD) -ISD 54-2,"SISSETON, South Dakota | Education: Lower Education | www.sisseton.k12.sd.us"
+1.605.698.3391,"Sisseton, SD","Sisseton, SD","Sisseton, South Dakota | Government: Local | www.sisseton.com"
+1.563.588.2351,Sisters of Charity BVM,Sisters of Charity BVM,"Dubuque, iowa | Education | bvmsisters.org"
+1.605.845.3040,"Smee School District 15-3, SD","Smee School District 15-3, SD","Wakpala, South Dakota | Education: Lower Education | smee.k12.sd.us"
(402) 726-2151,"South Central Nebraska USD #5, NE","South Central Nebraska USD #5, NE","Fairfield, Nebraska | Education: Lower Education | www.southcentralunified.org/"
+1.605.745.5127,South Dakota Department of Military and Veterans Affairs,South Dakota Department of Military and Veterans Affairs,"Rapid City, South Dakota | Government: Regional | www.state.sd.us"
+1.605.256.5292,South Dakota K-12 Data Center,South Dakota K-12 Data Center,"Madison, South Dakota | Consulting | www.k12.sd.us"
6052248654,"South Dakota Municipal League, SD","South Dakota Municipal League, SD","Fort Pierre, South Dakota | Nonprofit | www.sdmunicipalleague.org"
+1.402.725.3370,"Southern Nebraska Rural Public Power District, NE","Southern Nebraska Rural Public Power District, NE","Grand Island, Nebraska | Utilities | www.southernpd.net"
+1.308.497.2103,"SPALDING ACADEMY SCHOOL, NE","SPALDING ACADEMY SCHOOL, NE","Spalding, Nebraska | Education: Lower Education | www.spalding academy.org"
+1.308.497.2727,"Spalding Village, NE","Spalding Village, NE","Spalding, Nebraska | Government: Local"
+1.402.253.2204,"Springfield, NE","Springfield, NE","Springfield, Nebraska | Government: Local | www.springfieldne.org"
4027314713,SS Peter & Paul Elementary School NE,SS Peter & Paul Elementary School NE,"Omaha, Nebraska | Education | https://sppomaha.com/"
+16052242483,"SS Peter and Paul Catholic Church, SD","SS Peter and Paul Catholic Church, SD","Pierre, South Dakota | Education | sspeterpaul.net/"
16052343300,St Joseph's Indian School,St Joseph's Indian School,"Chamberlain, South Dakota | Education: Lower Education | stjo.org"
712-329-9000,"St. Albert Catholic School, IA","St. Albert Catholic School, IA","Council Bluffs, Iowa | Education: Lower Education | www.saintalbertschools.org"
+1.605.428.5591,"St. Mary Catholic Schools, SD","St. Mary Catholic Schools, SD","Dell Rapids, South Dakota | Education: Lower Education | drstmary.k12.sd.us"
+1.605.223.7741,"Stanley County School District, SD","Stanley County School District, SD","Fort Pierre, South Dakota | Education: Lower Education | stanleycounty.k12.sd.us"
+1.402.439.2119,"Stanton, NE","Stanton, NE","Stanton, Nebraska | Government: Local | www.stanton.net"
+1.641.483.2081,"State Center, IA","State Center, IA","State Center, Iowa | Government: Local | www.statecenteriowa.org"
+1.515.281.1333,State of Iowa Department For The Blind,State of Iowa Department For The Blind,"Des Moines, Iowa | Government: Regional | www.blind.state.ia.us"
+1.605.336.2775,"Stewart School, SD","Stewart School, SD","Sioux Falls, South Dakota | Education: Higher Education | www.stewartschool.edu"
17127328000,Storm Lake,Storm Lake,"Storm Lake, Iowa | Government: Local | stormlake.org"
+1.402.764.2561,"Stromsburg, NE","Stromsburg, NE","Stromsburg, Nebraska | Government: Local | www.stromsburgnebraska.com"
(605) 206-2624,"Sturgis Public Library, SD","Sturgis Public Library, SD","Sturgis, South Dakota | Government: Local | www.sturgis-sd.gov"
6052582244,"Sully County Sheriff's Office, SD","Sully County Sheriff's Office, SD","Onida, South Dakota | Government | www.sullycounty.net"
+1.605.258.2455,"Sully County, SD","Sully County, SD","Onida, South Dakota | Government: Local | www.sullycounty.net"
+1.308.632.6933,"Summit Christian College, NE","Summit Christian College, NE","Gering, Nebraska | Education: Higher Education | www.summitcc.net"
+1.563.578.3241,"Sumner City, IA","Sumner City, IA","Sumner, Iowa | Government: Local | www.mysumneriowa.com"
+1.402.879.4711,"Superior, NE","Superior, NE","Superior, Nebraska | Government: Local | www.cityofsuperior.org"
+1.308.386.4721,"Sutherland Village, NE","Sutherland Village, NE","Sutherland, Nebraska | Government: Local | www.villageofsutherland.com"
+1.402.773.4225,"Sutton, NE","Sutton, NE","Sutton, Nebraska | Government: Local | cityofsutton.org"
(605) 697-8576,"Swiftel Communications, SD","Swiftel Communications, SD","Brookings, South Dakota | Communications | swiftel.net/"
4022692173,"Syracuse, NE","Syracuse, NE","Syracuse, Nebraska | Government: Local | www.syracusene.com"
16055384399,Takini School,Takini School,"Howes, South Dakota | Education | takiniskyhawks.com"
6414843760,Tama County,Tama County,"Toledo, Iowa | Government: Local | https://www.tamacounty.iowa.gov/"
+1.641.484.3223,"Tama, IA","Tama, IA","Tama, Iowa | Government: Local | www.tamacity.govoffice2.com"
605-498-2700,"Tea Area School District, SD","Tea Area School District, SD","tea, South Dakota | Education: Lower Education | www.teaschools.k12.sd.us"
+1.402.374.2521,"Tekamah, NE","Tekamah, NE","Tekamah, Nebraska | Government: Local | www.tekamah.net"
+1.402.768.6027,"Thayer County Bank, NE","Thayer County Bank, NE","Hebron, Nebraska | Banking | www.thayercountybank.com"
+1.319.800.6466,"The Salon Professional Academy-Iowa City, IA","The Salon Professional Academy-Iowa City, IA","Iowa City, Iowa | Education: Higher Education | tspaiowacity.com/"
+1.308.645.2614,"Thedford Public Schools, NE","Thedford Public Schools, NE","Thedford, Nebraska | Education: Lower Education | www.thomascountyschools.com"
402-878-2272,"Thurston County, NE","Thurston County, NE","Pender, Nebraska | Government: Local | thurstoncountynebraska.us/"
+1.605.865.3654,"Timber Lake School District 20-3, SD","Timber Lake School District 20-3, SD","Timber Lake, South Dakota | Education: Lower Education | www.timberlakeschool.org"
605-733-2290,"Tiospaye Topa, SD","Tiospaye Topa, SD","LaPlant, South Dakota | Education: Lower Education | tiospayetopa.org"
6414843580,"Toledo Fire-EMS, IA","Toledo Fire-EMS, IA","Toledo, Iowa | Government | www.paladints.com"
+1.641.484.3108,"Toledo, IA","Toledo, IA","Toledo, Iowa | Government: Local | www.toledoia.com"
+16415883440,"Town of Joice, IA","Town of Joice, IA","Joice, Iowa | Government: Local | www.citydirectory.us/city-joice.html"
605-869-2263,"Town of Kennebec, SD","Town of Kennebec, SD","Kennebec, South Dakota | Government: Local"
+1.319.478.2580,"Traer, IA","Traer, IA","Traer, Iowa | Government: Local | www.clutier.net"
+1.605.543.5500,"Tri-Valley School District 49-6, SD","Tri-Valley School District 49-6, SD","Colton, South Dakota | Education: Lower Education | www.tri-valley.k12.sd.us"
16059356766,"Tripp- Delmont School District 33-5, SD","Tripp- Delmont School District 33-5, SD","Tripp, South Dakota | Education: Lower Education | tridel.k12.sd.us"
13086973315,Twin Valleys Public Power District,Twin Valleys Public Power District,"Cambridge, Nebraska | Utilities | twinvalleysppd.com"
+1.402.486.2525,"Union College, NE","Union College, NE","Lincoln, Nebraska | Education: Higher Education | www.union.edu"
+1.641.782.7519,"Union County Engineer, IA","Union County Engineer, IA","Creston, Iowa | Government: Local | www.unioncountyiowa.org"
(605) 356-2391,"Union County, SD","Union County, SD","Elk Point, South Dakota | Government | unioncountysd.org/"
+1.402.556.4456,"Universal College of Healing Arts, NE","Universal College of Healing Arts, NE","Omaha, Nebraska | Education: Higher Education | www.ucha.edu"
+1.402.472.2087,"University of NE Federal Credit Union, NE","University of NE Federal Credit Union, NE","Lincoln, Nebraska | Banking | www.nufcu.org"
+1.605.331.5000,"University of Sioux Falls, SD","University of Sioux Falls, SD","Sioux Falls, South Dakota | Education: Higher Education | www.usiouxfalls.edu"
(515)223-5462,"University Photo, IA","University Photo, IA","Clive, Iowa | Business Services | www.universityphoto.net"
3194432665,"Urbana, IA","Urbana, IA","Urbana, Iowa | Government: Local | www.urbanaiowa.com"
+14026682677,Verdigre Public Library,Verdigre Public Library,"Verdigre, Nebraska | Education: Lower Education | libraries.ne.gov/verdigre/"
16056777000,Vermillion School District 13-1,Vermillion School District 13-1,"Vermillion, South Dakota | Education | vermillion.k12.sd.us"
(563 ) 382-2506,"Vesterheim Museum, IA","Vesterheim Museum, IA","Decorah, Iowa | Recreation | www.vesterheim.org"
605-766-5418,"Viborg School, SD","Viborg School, SD","Viborg, South Dakota | Education: Lower Education | www.viborgschool.com"
+1.402.988.2269,"Village of Adams, NE","Village of Adams, NE","Adams, Nebraska | Government: Local | www.villageofadamsnebraska.com"
3194722930,Vinton,Vinton,"Vinton, Iowa | Government | https://cityofvinton.org/"
6053843677,"Wagner Community School, SD","Wagner Community School, SD","Wagner, South Dakota | Education: Lower Education | www.wagner.k12.sd.us"
+1.402.443.3222,"Wahoo, NE","Wahoo, NE","Wahoo, Nebraska | Government: Local | www.wahoo.ne.us"
+1.563.284.6571,"Walcott, IA","Walcott, IA","Walcott, Iowa | Government: Local | www.cityofwalcott.com"
605-279-2929,"Wall Community Library, SD","Wall Community Library, SD","Wall, South Dakota | Education | www.wallsd.us"
+1.712.664.5001,"Wall Lake View Auburn Community School District, IA","Wall Lake View Auburn Community School District, IA","Lake View, Iowa | Education: Lower Education | www.eastsac.k12.ia.us"
+1.712.664.2216,"Wall Lake, IA","Wall Lake, IA","Wall Lake, Iowa | Government: Local | www.walllake.com"
605-279-2156,Wall School District (SD) - ISD 51-5,Wall School District (SD) - ISD 51-5,"Wall, South Dakota | Education: Lower Education | www.wall.k12.sd.us"
+1.402.846.5921,"Walthill Village, NE","Walthill Village, NE","Walthill, Nebraska | Government: Local | www.walthillne.com"
605-225-6194,"Warner School District, SD","Warner School District, SD","Warner, South Dakota | Education: Lower Education | www.warner.k12.sd.us"
+1.605.225.2526,"Warner Town, SD","Warner Town, SD","Warner, South Dakota | Government: Local | www.fsbwarner.com"
+1.216.295.7710,"Warrensville Heights City Schools, OH","Warrensville Heights City Schools, OH","Warrensville Heights, Ohio | Education: Lower Education | www.warrensville.k12.oh.us"
(319) 235-9309,"Waterloo Christian, IA","Waterloo Christian, IA","Waterloo, Iowa | Education | www.wcs-ia.net/"
+1.402.779.2292,"Waterloo Village, NE","Waterloo Village, NE","Waterloo, Nebraska | Government: Local | www.waterloone.com"
605.947.4529,Waubay School District (SD) - ISD  18-3,Waubay School District (SD) - ISD  18-3,"Waubay, South Dakota | Education: Lower Education | www.waubay.k12.sd.us"
563-568-3492,"Waukon City Hall, IA","Waukon City Hall, IA","Waukon, Iowa | Government: Local | www.cityofwaukon.com/city-clerk"
563-568-3427,"Waukon Police Department, IA","Waukon Police Department, IA","Waukon, Iowa | Government: Local | www.cityofwaukon.com/police-department"
+1.308.394.5390,"Wauneta Village, NE","Wauneta Village, NE","Wauneta, Nebraska | Government: Local | www.wauneta.com"
3193529065,Waverly,Waverly,"Waverly, Iowa | Government: Local | waverlyia.com"
(319) 352-1223,"Waverly Public Library, IA","Waverly Public Library, IA","Waverly, Iowa | Government | www.waverlyia.com/library"
+1.605.345.3548,"Webster Area School District, SD","Webster Area School District, SD","Webster, South Dakota | Education: Lower Education | www.webster.k12.sd.us/"
15158329151,Webster City,Webster City,"Webster City, Iowa | Government: Local | webstercity.com"
605-539-9391,"Wessington Springs School District, SD","Wessington Springs School District, SD","Wessington Springs, South Dakota | Education: Lower Education | www.wessingtonsprings.k12.sd.us"
+1.605.539.9380,"Wessington Springs Township, SD","Wessington Springs Township, SD","Wessington Springs, South Dakota | Government: Local | www.wessingtonsprings.com"
3197525451,West Burlington,West Burlington,"West Burlington, Iowa | Government: Local | https://www.westburlingtoniowa.gov/"
6055283217,West Central School District 49-7,West Central School District 49-7,"Hartford, South Dakota | Education: Higher Education | https://www.westcentral.k12.sd.us/"
+1.319.837.6313,"West Point, IA","West Point, IA","West Point, Iowa | Government: Local | www.westpointiowa.com"
4023722466,"West Point, NE","West Point, NE","West Point, Nebraska | Government: Local | https://www.ci.west-point.ne.us/"
+1.563.422.3908,"West Union, IA","West Union, IA","West Union, Iowa | Government: Local | www.westunion.com"
13082545871,Wheatbelt Public Power District,Wheatbelt Public Power District,"Sidney, Nebraska | Utilities | wheatbelt.com"
+1.308.654.3273,"Wheeler Central, NE","Wheeler Central, NE","BARTLETT, Nebraska | Education: Lower Education | N/A"
6052492251,"White Lake School District, SD","White Lake School District, SD","White Lake, South Dakota | Education: Lower Education | www.whitelake.k12.sd.us"
+1.605.259.3135,"White River School District 47-1, SD","White River School District 47-1, SD","White River, South Dakota | Education: Lower Education | www.whiteriver.k12.sd.us"
+13086672834,"Whitney Irrigation District, NE","Whitney Irrigation District, NE","Whitney, Nebraska | Government"
+1.319.668.1311,"Williamsburg, IA","Williamsburg, IA","Williamsburg, Iowa | Government: Local | www.williamsburgiowa.org"
605-625-5945,"Willow Lake School District, SD","Willow Lake School District, SD","Willow Lake, South Dakota | Education: Lower Education | www.willowlake.k12.sd.us"
605-938-4647,Wilmot School District (SD) - ISD 54-7,Wilmot School District (SD) - ISD 54-7,"Wilmot, South Dakota | Education: Lower Education | www.wilmot.k12.sd.us"
+14028783100,Winnebago Tribe of Nebraska,Winnebago Tribe of Nebraska,"Winnebago, Nebraska | Government | www.winnebagotribe.com"
16058423939,Winner City Jail,Winner City Jail,"Winner, South Dakota | Government: Local | winnersd.org"
+1.605.557.3405,"Winner School District, SD","Winner School District, SD","Winner, South Dakota | Education: Lower Education | www.winner.k12.sd.us"
+1.605.883.4221,"Wolsey Wessington School District 02-6, SD","Wolsey Wessington School District 02-6, SD","Wolsey, South Dakota | Education: Lower Education | www.wolsey-wessington.k12.sd.us/"
3085832066,Wood River,Wood River,"Wood River, Nebraska | Government: Local | https://www.woodriverne.com/"
+1.712.647.2550,"Woodbine, IA","Woodbine, IA","Woodbine, Iowa | Government: Local | www.woodbineia.com"
515-438-2636,"Woodward Public Library, IA","Woodward Public Library, IA","Woodward, Iowa | Education | www.woodward.lib.ia.us"
6413241291,"Worth County, IA","Worth County, IA","Northwood, Iowa | Government: Local | worthcountyiowa.gov/"
5155322771,Wright County,Wright County,"Clarion, Iowa | Government: Local | https://www.wrightcounty.iowa.gov/"
641-444-3330,"Wright County Motors, IA","Wright County Motors, IA","Belmond, Iowa | Retail | www.wrightcountymotors.com"
+1.402.645.3525,"Wymore, NE","Wymore, NE","Wymore, Nebraska | Government: Local | www.braaa.org"
+1.402.363.5600,"York University, NE","York University, NE","York, Nebraska | Education: Higher Education | www.york.edu"
+1.515.233.3141,"Youth and Shelter Services, IA","Youth and Shelter Services, IA","Ames, Iowa | Government | www.yss.org/"
3082343410,"Zion Lutheran School, NE","Zion Lutheran School, NE","Kearney, Nebraska | Education: Lower Education | https://www.zionkearney.com/"
